,Tweets
422,"Glory to the Air Force of Ukraine!🇺🇦Слава Україні!
#UkraineWillWin,#UkraineWar,#UkraineRussiaWar,#Ukrainians,… https://t.co/tMJM0xFh9e"
267,"RT @olex_scherba: A #Ukraine girl selling cookies to help the army. Putin, you can’t win here! @ukraine_world 

#StandWithUkraine #UkraineW…"
391,RT @UAWeapons: #Ukraine: Ever heard of drone carpet bombing? We have all seen Ukrainian commercial drones dropping grenades or improvised m…
282,RT @VUWVideos: Look up these names! All the important #Nazis after WW2 were adopted by the US and then continued their hatred and dreams of…
332,"RT @Zack_Ferum: @SergiyKyslytsya i was in Kyiv when #russia began the war: hundreds of sleeper agents activated, diversion groups began act…"
236,"RT @CanalDigitalN: 🇷🇺🇺🇦 | A pedido de Kiev, la justicia ucraniana ha ratificado la ilegalidad del «Partido Comunista» y de «Ucrania Feliz»,…"
291,"#WION:
#Russia accuses #US of '#Direct #Involvement'
in #Ukraine war ‼️
Moscow has now accused the United States of… https://t.co/2kJWxmThgq"
215,RT @francoisedegois: #Ukraine  : ce que contient le rapport d’Amnesty International qui rend furieux #Zelensky  https://t.co/1S5qwObKl6
129,RT @HButterfly33: #Gaza is brutally under attack by #Israel. @unitednations please wake up and help #palestine. Why #ukraine lives matter b…
635,"The account then claims to say no to genocide while promoting war crimes and the execution of civilians.. 
#Ukraine… https://t.co/pAw2kiKuMJ"
757,"RT @SandroGlatzW: Assinado 🖌 O zagueiro Gabriel Nazario, do Figueirense, assinou um contrato de 3 anos com a equipe da Ucrânia, Vorskla. ⚽️…"
764,RT @SWagenknecht: #Ukraine: Warum schweigt BuReg zu #Amnesty-Bericht? Mutmaßliche Kriegsverbrechen gibt es leider auf beiden Seiten. Amnest…
39,"@rida_ehab #Ukraine
#NaziUkraine https://t.co/OqDAJGKKOO"
984,RT @Ukraine66251776: 100000 North Korean soldiers want to come and help Russian brothers fight the Nazis in #Ukraine. They will bring along…
