,Tweets
329,RT @BHL: Accusing #Ukraine of operating in civil zones? It’s like accusing the French resistance of fighting in the streets of Paris in Aug…
988,"@kiraincongress good luck 👏🌷
#StandWithUkraine  #Ukraine"
489,"RT @UkraineNewsLive: 🇺🇦💥Gifts from the Armed Forces

 6-8 ammo manual PTG
#Ukraine #UkraineWar #UkrainianArmy #UkraineRussiaWar #UkraineWil…"
458,"RT @eslemanabayy: dear #Africans
Most African countries are getting #wheat and #maize from war-torn #Ukraine yet we have large swathes of a…"
957,"❗️🇺🇦Обращение матерей и жен укровоинов 56-ой отдельной мотопехотной бригады к Зеле, с требованием вернуть их сынове… https://t.co/cl57JpkBCO"
981,"I have noticed a pattern when it comes to pro #Ukraine #shills, #trolls. #FAKE 🇺🇦 accounts on Twitter and FB have p… https://t.co/MEDH3iPXK7"
270,RT @ForsvarsdepSv: Minister for #Defence Peter Hultqvist and @SwedishPM: The Swedish Armed Forces will send instructors to the UK to give U…
934,"RT @ChrishaModis: Inspirational powerful .... Falling Angels!
#Trending #goodmorning #music #Musica #India #Ukraine #love #Russia @AppleMus…"
615,"RT @roemerwolf: @Gerard1945X @geertwilderspvv @JoostNiemoller De ""vluchtelingen"" v #Ukraine komen uit t noorden dus helemaal niet uit een o…"
686,"RT @jdoeschner: Reminder!

#Atomkraft #Ukraine #Saporischschja"
39,"@rida_ehab #Ukraine
#NaziUkraine https://t.co/OqDAJGKKOO"
820,RT @MahuiChina: Useful thread for understand a bit of second world histroy and #Ukraine crisis and the situation in the Taiwan Street follo…
780,"RT @DABornhoeft: Hej @amnesty_de @amnesty - wie kommentiert Ihr es,wenn russisches Militär Hände und Köpfe von ukrainischen Kriegsgefangene…"
732,"RT @ruscrimes24: Military counter-intelligence officers of the Security Service of #Ukraine continue to ""demilitarize"" the occupiers with s…"
223,"RT @AnarchoTerran: I had been on a bus Friday in #Cagliari, #Sardinia wearing my ""Ukraine"" hat. A woman was staring at me with daggers in h…"
353,"RT @haintz_markus: #Ukraine #Selenskyj #Korruption
Die NYT berichtet, wie die Biden-Administration begann, Selenskyj aufgrund von Korruptio…"
764,RT @SWagenknecht: #Ukraine: Warum schweigt BuReg zu #Amnesty-Bericht? Mutmaßliche Kriegsverbrechen gibt es leider auf beiden Seiten. Amnest…
994,RT @nexta_tv: #Russian losses according to the General Staff of the Armed Forces of #Ukraine. https://t.co/BvRP9ieM74
205,"Οι κάτοικοι της Ποπάσναγια περιέγραψαν τη στάση των Ουκρανών στρατιωτών απέναντι στον άμαχο πληθυσμό:
Απείλησαν του… https://t.co/5D1uXvD5V3"
132,@iaeaorg @rafaelmgrossi @UN @antonioguterres #Ukraine has been calling for the close attention of international com… https://t.co/pYHgJEoCLM
